epoch,alpha,beta,gamma,tv_weight,train_loss,train_nss,train_cc,train_kl,train_aucj,train_sauc,val_loss,val_nss,val_cc,val_kl,val_aucj,val_sauc
1,1.0,0.05,0.01,0.001,0.4434,1.718,0.836,0.265,0.497,0.753,0.4687,1.721,0.808,0.290,0.857,0.768
2,1.0,0.05,0.01,0.001,0.4102,1.759,0.864,0.240,0.495,0.756,0.4420,1.744,0.833,0.269,0.859,0.766
3,1.0,0.05,0.01,0.001,0.3679,1.855,0.878,0.210,0.497,0.764,0.4399,1.810,0.829,0.273,0.862,0.776
4,1.0,0.05,0.01,0.001,0.3461,1.876,0.888,0.191,0.494,0.766,0.4193,1.818,0.835,0.256,0.864,0.768
5,1.0,0.05,0.01,0.001,0.3105,1.921,0.910,0.163,0.492,0.773,0.4035,1.838,0.847,0.244,0.866,0.771
6,1.0,0.05,0.01,0.001,0.3011,1.868,0.922,0.148,0.500,0.776,0.4102,1.756,0.845,0.240,0.860,0.772
7,1.0,0.05,0.01,0.001,0.2761,1.917,0.933,0.129,0.495,0.779,0.4138,1.789,0.843,0.248,0.862,0.771
8,1.0,0.05,0.01,0.001,0.2614,1.948,0.940,0.119,0.493,0.779,0.4155,1.805,0.843,0.252,0.864,0.769
9,1.0,0.05,0.01,0.001,0.2529,1.931,0.946,0.109,0.494,0.782,0.4143,1.780,0.846,0.248,0.863,0.778
10,1.0,0.05,0.01,0.001,0.2467,1.935,0.949,0.104,0.501,0.784,0.4139,1.770,0.846,0.246,0.862,0.772
